"Reason","MatchCount","CSV_DealId","CSV_Title","CSV_Product","CSV_Quantity","CSV_Pipeline","CSV_Stage","CSV_Status","CSV_ACV","CSV_MRR","CSV_ARR","DerivedProductCategory","DerivedPlanCategory","DerivedAccountCount"
"Salesforceに複合キー一致なし","0","650","NTTファシリティーズエンジニアリング株式会社","Rendery Enterpriseプラン","6","Rendery 商談管理","決済手続/稟議中","進行中","1080000","90000","1080000","Rendery","Enterprise","6"
"Salesforce候補が複数あり一意に照合不可","2","654","有限会社芝田工務店","","","Rendery 商談管理","社内検討中","進行中","0","0","0","Rendery","",""
"Salesforce候補が複数あり一意に照合不可","2","657","株式会社フューチャースケッチ","","","Rendery 商談管理","お打ち合わせセッティング完了","進行中","0","0","0","Rendery","",""
"Salesforceに複合キー一致なし","0","677","NTTファシリティーズ","Rendery Enterpriseプラン","100","Rendery CS Pipe","S1 導入直後","進行中","18000000","1500000","18000000","Rendery","Enterprise","100"
"Salesforceに複合キー一致なし","0","680","清水建設株式会社福岡支店工事部","Rendery Proプラン","8","Rendery 商談管理","決済手続/稟議中","進行中","844800","70400","844800","Rendery","Pro","8"
"Salesforceに複合キー一致なし","0","682","近鉄不動産株式会社","Rendery Enterpriseプラン","2","Rendery アップセルPipe","社内承認待ち（クロージング前）","成立","360000","30000","360000","Rendery","Enterprise","2"
"Salesforce候補が複数あり一意に照合不可","2","684","株式会社フューチャースケッチ","","","Rendery 商談管理","お打ち合わせセッティング完了","進行中","0","0","0","Rendery","",""
"Salesforceに複合キー一致なし","0","689","デザインアーク（大阪）","Rendery Enterpriseプラン","60","Rendery CS Pipe","S3 活用拡張","進行中","7920000","660000","7920000","Rendery","Enterprise","60"
"Salesforceに複合キー一致なし","0","693","株式会社MONO-GRAPH","Rendery Proプラン","1","Rendery 商談管理","お打ち合わせセッティング完了","成立","105600","8800","105600","Rendery","Pro","1"
"Salesforceに複合キー一致なし","0","694","株式会社グレート","Rendery Proプラン","1","Rendery 商談管理","トライアル中","進行中","105600","8800","105600","Rendery","Pro","1"
