Id,Name,MasterContract__c,ContractYearMonth__c,Plan__c,PeopleNumber__c,RevenueAmount__c,ProductMaster__c,ProductMaster__r.Name
a03RB00001Nswb3YAB,佐伯綜合建設(大塚商会)_2025/10,a04RB00000kUAO6YAO,2025/10,Pro＋,1,,,
a03RB00001Nswb2YAB,佐伯綜合建設(大塚商会)_2025/09,a04RB00000kUAO6YAO,2025/09,Pro＋,1,,,
a03RB00001Nswb1YAB,佐伯綜合建設(大塚商会)_2025/08,a04RB00000kUAO6YAO,2025/08,Pro＋,1,,,
a03RB00001Nswb0YAB,佐伯綜合建設(大塚商会)_2025/07,a04RB00000kUAO6YAO,2025/07,Pro＋,1,,,
a03RB00001NswazYAB,佐伯綜合建設(大塚商会)_2025/06,a04RB00000kUAO6YAO,2025/06,Pro＋,1,,,
a03RB00001NswayYAB,佐伯綜合建設(大塚商会)_2025/05,a04RB00000kUAO6YAO,2025/05,Pro＋,1,,,
a03RB00001NswaxYAB,佐伯綜合建設(大塚商会)_2025/04,a04RB00000kUAO6YAO,2025/04,Pro＋,1,,,
a03RB00001NswawYAB,佐伯綜合建設(大塚商会)_2025/03,a04RB00000kUAO6YAO,2025/03,Pro＋,1,,,
a03RB00001NswavYAB,佐伯綜合建設(大塚商会)_2025/02,a04RB00000kUAO6YAO,2025/02,Pro＋,1,,,
a03RB00001NswboYAB,矢作建設工業株式会社_2026/07,a04RB00000kUAO9YAO,2026/07,EN,5,,,
a03RB00001NswbnYAB,矢作建設工業株式会社_2026/06,a04RB00000kUAO9YAO,2026/06,EN,5,,,
a03RB00001NswbmYAB,矢作建設工業株式会社_2026/05,a04RB00000kUAO9YAO,2026/05,EN,5,,,
a03RB00001NswblYAB,矢作建設工業株式会社_2026/04,a04RB00000kUAO9YAO,2026/04,EN,5,,,
a03RB00001NswbkYAB,矢作建設工業株式会社_2026/03,a04RB00000kUAO9YAO,2026/03,EN,5,,,
a03RB00001NswbjYAB,矢作建設工業株式会社_2026/02,a04RB00000kUAO9YAO,2026/02,EN,5,,,
a03RB00001NswbiYAB,矢作建設工業株式会社_2026/01,a04RB00000kUAO9YAO,2026/01,EN,5,,,
a03RB00001NswbhYAB,矢作建設工業株式会社_2025/12,a04RB00000kUAO9YAO,2025/12,EN,5,,,
a03RB00001NswbgYAB,矢作建設工業株式会社_2025/11,a04RB00000kUAO9YAO,2025/11,EN,5,,,
a03RB00001NswbfYAB,矢作建設工業株式会社_2025/10,a04RB00000kUAO9YAO,2025/10,EN,5,,,
a03RB00001NswbeYAB,矢作建設工業株式会社_2025/09,a04RB00000kUAO9YAO,2025/09,EN,5,,,
