Id,Name,FreeeInvoiceId__c,BillingDate__c,InvoiceAmount__c,ImportStatus__c,ValidationMessage__c,ResolvedAccount__c,ResolvedContract__c,ResolvedContractPeriod__c,CreatedInvoice__c
a0FRB00000UtKT52AN,MFIW-000083,56841400,2026-04-22,2217600,反映済み,,001RB00001VTqgBYAT,a04RB00000kVL7VYAW,a0BRB00000ypw672AA,a00RB000024Ux5FYAS
a0FRB00000UtKT62AN,MFIW-000084,56857997,2026-04-22,308000,反映済み,,001RB00001VTCYEYA5,a04RB00000kVL7jYAG,a0BRB00000ypw6S2AQ,a00RB000024Ux5GYAS
a0FRB00000UtKUf2AN,MFIW-000085,56898984,2026-04-23,8800,反映済み,,001RB00001VTqU8YAL,a04RB00000kUAPEYA4,a0BRB00000ynn552AA,a00RB000024Ux5HYAS
a0FRB00000UtKXt2AN,MFIW-000086,57073276,2026-04-30,8800,反映済み,,001RB00001VTqeXYAT,a04RB00000kUAP3YAO,a0BRB00000ynb6y2AA,a00RB000024Ux5IYAS
a0FRB00000UtKjB2AV,MFIW-000087,58268807,2026-05-12,0,反映済み,,001RB00001VTrkUYAT,a04RB00000kVL7OYAW,a0BRB00000ypw5v2AA,a00RB000024Ux5JYAS
a0FRB00000UtKmP2AV,MFIW-000088,58388932,2026-05-13,181500,反映済み,,001RB00001VTruAYAT,a04RB00000kUAOAYA4,a0BRB00000ynb652AA,a00RB000024Ux5KYAS
a0FRB00000UtKrF2AV,MFIW-000091,58689117,2026-05-19,70400,反映済み,,001RB00001VTqlYYAT,a04RB00000kUANdYAO,a0BRB00000ynb5Y2AQ,a00RB000024Ux5LYAS
a0FRB00000UtKrG2AV,MFIW-000092,58689637,2026-05-19,532400,反映済み,,001RB00001VTqlHYAT,a04RB00000kUANiYAO,a0BRB00000ynb5d2AA,a00RB000024Ux5MYAS
a0FRB00000UtKrH2AV,MFIW-000093,58692141,2026-05-19,84700,反映済み,,001RB00001VTqlZYAT,a04RB00000kVL7JYAW,a0BRB00000ypw5q2AA,a00RB000024Ux5NYAS
a0FRB00000UtKsr2AF,MFIW-000094,58549424,2026-05-20,229900,反映済み,,001RB00001VTqUVYA1,a04RB00000kVL7iYAG,a0BRB00000ypw6Q2AQ,a00RB000024Ux5OYAS
a0FRB00000UtKss2AF,MFIW-000095,58549433,2026-05-20,145200,反映済み,,001RB00001VTqbXYAT,a04RB00000kUAOTYA4,a0BRB00000ynb6O2AQ,a00RB000024Ux5PYAS
a0FRB00000UtKst2AF,MFIW-000096,58549436,2026-05-20,12100,反映済み,,001RB00001VTrGkYAL,a04RB00000kUAQAYA4,a0BRB00000ynn622AA,a00RB000024Ux5QYAS
a0FRB00000UtKsu2AF,MFIW-000097,58549439,2026-05-20,44000,反映済み,,001RB00001VTqxsYAD,a04RB00000kUAOfYAO,a0BRB00000ynb6a2AA,a00RB000024Ux5RYAS
a0FRB00000UtKsv2AF,MFIW-000098,58549442,2026-05-20,275000,反映済み,,001RB00001VTqxQYAT,a04RB00000kVL7SYAW,a0BRB00000ypw622AA,a00RB000024Ux5SYAS
a0FRB00000UtKsw2AF,MFIW-000099,58549444,2026-05-20,8800,反映済み,,001RB00001VTqy1YAD,a04RB00000kUAOgYAO,a0BRB00000ynb6b2AA,a00RB000024Ux5TYAS
a0FRB00000UtKsx2AF,MFIW-000100,58549447,2026-05-20,60500,反映済み,,001RB00001VTqatYAD,a04RB00000kUAQ9YAO,a0BRB00000ynn612AA,a00RB000024Ux5UYAS
a0FRB00000UtKsy2AF,MFIW-000101,58549450,2026-05-20,26400,反映済み,,001RB00001VTqW8YAL,a04RB00000kUAOpYAO,a0BRB00000ynb6k2AA,a00RB000024Ux5VYAS
a0FRB00000UtKsz2AF,MFIW-000102,58549452,2026-05-20,8800,反映済み,,001RB00001VTr0hYAD,a04RB00000kUAOhYAO,a0BRB00000ynb6c2AA,a00RB000024Ux5WYAS
a0FRB00000UtKt02AF,MFIW-000103,58549455,2026-05-20,60500,反映済み,,001RB00001VTrkYYAT,a04RB00000kUAQCYA4,a0BRB00000ynn642AA,a00RB000024Ux5XYAS
a0FRB00000UtKt12AF,MFIW-000104,58549457,2026-05-20,12100,反映済み,,001RB00001VTtIiYAL,a04RB00000kUAQBYA4,a0BRB00000ynn632AA,a00RB000024Ux5YYAS
a0FRB00000UtKt22AF,MFIW-000105,58549460,2026-05-20,17600,反映済み,,001RB00001VTrkRYAT,a04RB00000kUAOtYAO,a0BRB00000ynb6o2AA,a00RB000024Ux5ZYAS
a0FRB00000UtKt32AF,MFIW-000106,58549463,2026-05-20,82500,反映済み,,001RB00001VTrI5YAL,a04RB00000kUAP0YAO,a0BRB00000ynb6v2AA,a00RB000024Ux5aYAC
a0FRB00000UtKt42AF,MFIW-000107,58549465,2026-05-20,17600,反映済み,,001RB00001VTrlBYAT,a04RB00000kUAOyYAO,a0BRB00000ynb6t2AA,a00RB000024Ux5bYAC
a0FRB00000UtKt52AF,MFIW-000108,58549467,2026-05-20,26400,反映済み,,001RB00001VTqgHYAT,a04RB00000kUAOzYAO,a0BRB00000ynb6u2AA,a00RB000024Ux5cYAC
a0FRB00000UtKt62AF,MFIW-000109,58549470,2026-05-20,8800,反映済み,,001RB00001VTqeXYAT,a04RB00000kUAP3YAO,a0BRB00000ynb6y2AA,a00RB000024Ux5dYAC
a0FRB00000UtKt72AF,MFIW-000110,58549473,2026-05-20,82500,反映済み,,001RB00001VTrkbYAD,a04RB00000kUAP5YAO,a0BRB00000ynb702AA,a00RB000024Ux5eYAC
a0FRB00000UtKt82AF,MFIW-000111,58549475,2026-05-20,82500,反映済み,,001RB00001VTrlqYAD,a04RB00000kUAP6YAO,a0BRB00000ynb712AA,a00RB000024Ux5fYAC
a0FRB00000UtKt92AF,MFIW-000112,58549477,2026-05-20,17600,反映済み,,001RB00001VTqnvYAD,a04RB00000kUAP4YAO,a0BRB00000ynb6z2AA,a00RB000024Ux5gYAC
a0FRB00000UtKtA2AV,MFIW-000113,58549480,2026-05-20,8800,反映済み,,001RB00001VTrqeYAD,a04RB00000kUAPAYA4,a0BRB00000ynb752AA,a00RB000024Ux5hYAC
a0FRB00000UtKw52AF,MFIW-000115,58937326,2026-05-22,825000,反映済み,,001RB00001VTqgBYAT,a04RB00000kVL7VYAW,a0BRB00000ypw682AA,a00RB000024Ux5iYAC
a0FRB00000UtKw62AF,MFIW-000116,58940950,2026-05-22,165000,反映済み,,001RB00001VcyFKYAZ,a04RB00000kVL7KYAW,a0BRB00000ypw5r2AA,a00RB000024Ux5jYAC
a0FRB00000UtKw72AF,MFIW-000117,58947453,2026-05-22,924000,反映済み,,001RB00001VTqsxYAD,a04RB00000kUAOnYAO,a0BRB00000ynb6i2AA,a00RB000024Ux5kYAC
a0FRB00000UtKxh2AF,MFIW-000118,59062064,2026-05-25,154000,反映済み,,001RB00001VTraTYAT,a04RB00000kUAOUYA4,a0BRB00000ynb6P2AQ,a00RB000024Vf1xYAC
a0FRB00000UtL0v2AF,MFIW-000119,59295041,2026-05-27,324500,反映済み,,001RB00001VTrvcYAD,a04RB00000kVL7cYAG,a0BRB00000ypw6G2AQ,a00RB000024Vf1yYAC
a0FRB00000UtLdd2AF,MFIW-000120,60012375,2026-05-31,105600,反映済み,,001RB00001VTrxYYAT,a04RB00000kVL7UYAW,a0BRB00000ypw652AA,a00RB000024Vf1zYAC
a0FRB00000UtLde2AF,MFIW-000121,60414862,2026-05-31,6600000,反映済み,,001RB00001VTCZLYA5,a04RB00000kVL7PYAW,a0BRB00000ypw5w2AA,a00RB000024Vf20YAC
a0FRB00000UtLlh2AF,MFIW-000123,60518749,2026-06-10,693000,反映済み,,001RB00001VTraTYAT,a04RB00000kUAOUYA4,a0BRB00000ynb6P2AQ,a00RB000024Vf21YAC
a0FRB00000UtM532AF,MFIW-000124,60970507,2026-06-18,217800,反映済み,,001RB00001VTruAYAT,a04RB00000kUAOAYA4,a0BRB000012R4gz2AC,a00RB00002BahLdYAJ
a0FRB00000UtM9u2AF,MFIW-000126,59151137,2026-06-19,52800,反映済み,,001RB00001VcyFPYAZ,a04RB00000kVL7hYAG,a0BRB00000ypw6N2AQ,a00RB000024Vf24YAC
a0FRB00000UtM9w2AF,MFIW-000128,60984868,2026-06-19,544500,反映済み,,001RB00001VTCZ9YAP,a04RB00000kVL7LYAW,a0BRB00000ypw5s2AA,a00RB000024Vf25YAC
a0FRB00000UtMBV2A3,MFIW-000129,60792877,2026-06-20,229900,反映済み,,001RB00001VTqUVYA1,a04RB00000kVL7iYAG,a0BRB00000ypw6R2AQ,a00RB000024Vf26YAC
a0FRB00000UtMBW2A3,MFIW-000130,60792884,2026-06-20,145200,反映済み,,001RB00001VTqbXYAT,a04RB00000kUAOTYA4,a0BRB00000ynb6O2AQ,a00RB000024Vf27YAC
a0FRB00000UtMBX2A3,MFIW-000131,60792886,2026-06-20,12100,反映済み,,001RB00001VTrGkYAL,a04RB00000kUAQAYA4,a0BRB00000ynn622AA,a00RB000024Vf28YAC
a0FRB00000UtMBY2A3,MFIW-000132,60792889,2026-06-20,52800,反映済み,,001RB00001VTqxsYAD,a04RB00000kUAOfYAO,a0BRB00000ynb6a2AA,a00RB000024Vf29YAC
a0FRB00000UtMBZ2A3,MFIW-000133,60792891,2026-06-20,275000,反映済み,,001RB00001VTqxQYAT,a04RB00000kVL7SYAW,a0BRB00000ypw632AA,a00RB000024Vf2AYAS
a0FRB00000UtMBa2AN,MFIW-000134,60792892,2026-06-20,17600,反映済み,,001RB00001VTqy1YAD,a04RB00000kUAOgYAO,a0BRB00000ynb6b2AA,a00RB000024Vf2BYAS
a0FRB00000UtMBb2AN,MFIW-000135,60792893,2026-06-20,60500,反映済み,,001RB00001VTqatYAD,a04RB00000kUAQ9YAO,a0BRB00000ynn612AA,a00RB000024Vf2CYAS
a0FRB00000UtMBc2AN,MFIW-000136,60792894,2026-06-20,26400,反映済み,,001RB00001VTqW8YAL,a04RB00000kUAOpYAO,a0BRB00000ynb6k2AA,a00RB000024Vf2DYAS
a0FRB00000UtMBd2AN,MFIW-000137,60792896,2026-06-20,8800,反映済み,,001RB00001VTr0hYAD,a04RB00000kUAOhYAO,a0BRB00000ynb6c2AA,a00RB000024Vf2EYAS
a0FRB00000UtMBe2AN,MFIW-000138,60792897,2026-06-20,60500,反映済み,,001RB00001VTrkYYAT,a04RB00000kUAQCYA4,a0BRB00000ynn642AA,a00RB000024Vf2FYAS
a0FRB00000UtMBf2AN,MFIW-000139,60792898,2026-06-20,12100,反映済み,,001RB00001VTtIiYAL,a04RB00000kUAQBYA4,a0BRB00000ynn632AA,a00RB000024Vf2GYAS
a0FRB00000UtMBg2AN,MFIW-000140,60792899,2026-06-20,17600,反映済み,,001RB00001VTrkRYAT,a04RB00000kUAOtYAO,a0BRB00000ynb6o2AA,a00RB000024Vf2HYAS
a0FRB00000UtMBh2AN,MFIW-000141,60792900,2026-06-20,82500,反映済み,,001RB00001VTrI5YAL,a04RB00000kUAP0YAO,a0BRB00000ynb6v2AA,a00RB000024Vf2IYAS
a0FRB00000UtMBi2AN,MFIW-000142,60792903,2026-06-20,17600,反映済み,,001RB00001VTrlBYAT,a04RB00000kUAOyYAO,a0BRB00000ynb6t2AA,a00RB000024Vf2JYAS
a0FRB00000UtMBj2AN,MFIW-000143,60792904,2026-06-20,26400,反映済み,,001RB00001VTqgHYAT,a04RB00000kUAOzYAO,a0BRB00000ynb6u2AA,a00RB000024Vf2KYAS
a0FRB00000UtMBk2AN,MFIW-000144,60792905,2026-06-20,8800,反映済み,,001RB00001VTqeXYAT,a04RB00000kUAP3YAO,a0BRB00000ynb6y2AA,a00RB000024Vf2LYAS
a0FRB00000UtMBl2AN,MFIW-000145,60792906,2026-06-20,82500,反映済み,,001RB00001VTrkbYAD,a04RB00000kUAP5YAO,a0BRB00000ynb702AA,a00RB000024Vf2MYAS
a0FRB00000UtMBm2AN,MFIW-000146,60792907,2026-06-20,82500,反映済み,,001RB00001VTrlqYAD,a04RB00000kUAP6YAO,a0BRB00000ynb712AA,a00RB000024Vf2NYAS
a0FRB00000UtMBn2AN,MFIW-000147,60792909,2026-06-20,8800,反映済み,,001RB00001VTrqdYAD,a04RB00000kUAP7YAO,a0BRB00000ynb722AA,a00RB000024Vf2OYAS
a0FRB00000UtMBo2AN,MFIW-000148,60792910,2026-06-20,17600,反映済み,,001RB00001VTqnvYAD,a04RB00000kUAP4YAO,a0BRB00000ynb6z2AA,a00RB000024Vf2PYAS
a0FRB00000UtMbJ2AV,MFIW-000149,60792928,2026-06-30,6600000,反映済み,,001RB00001VTCZLYA5,a04RB00000kVL7PYAW,a0BRB00000ypw5x2AA,a00RB000024Vf2QYAS
a0FRB00000WhTPL2A3,MFIW-000179,60861169,2026-06-20,12100,反映済み,,001RB00001br9KgYAI,a04RB00000n5JdiYAE,a0BRB000012EChC2AW,a00RB00002B4i3EYAR
