Id,Name,Account__c,ParentContract__c,ContractPeriod__c,TargetPeriodStartDate__c,TargetPeriodEndDate__c,Billing_Date__c,Freee_Invoice_Status__c,PaymentStatus__c,CancelStatus__c,Freee_Invoice_Id__c
a00RB000024Vf21YAC,INV-0000000106,001RB00001VTraTYAT,a04RB00000kUAOUYA4,a0BRB00000ynb6P2AQ,,,2026-06-10,送付済み,決済待ち,通常,60518749
a00RB000024Vf22YAC,INV-0000000107,001RB00001VTruAYAT,a04RB00000kVL7YYAW,a0BRB00000ypw6B2AQ,,,2026-06-18,送付待ち,決済待ち,通常,60970507
a00RB000024Vf23YAC,INV-0000000108,001RB00001OfTpKYAV,a04RB00000kVL7NYAW,a0BRB00000ypw5u2AA,,,2026-06-19,送付待ち,決済待ち,通常,58810995
a00RB000024Vf24YAC,INV-0000000109,001RB00001VcyFPYAZ,a04RB00000kVL7hYAG,a0BRB00000ypw6N2AQ,,,2026-06-19,送付済み,決済待ち,通常,59151137
a00RB000024Vf25YAC,INV-0000000110,001RB00001VTCZ9YAP,a04RB00000kVL7LYAW,a0BRB00000ypw5s2AA,,,2026-06-19,送付済み,決済待ち,通常,60984868
a00RB000024Vf26YAC,INV-0000000111,001RB00001VTqUVYA1,a04RB00000kVL7iYAG,a0BRB00000ypw6R2AQ,,,2026-06-20,送付済み,決済待ち,通常,60792877
a00RB000024Vf27YAC,INV-0000000112,001RB00001VTqbXYAT,a04RB00000kUAOTYA4,a0BRB00000ynb6O2AQ,,,2026-06-20,送付済み,決済待ち,通常,60792884
a00RB000024Vf28YAC,INV-0000000113,001RB00001VTrGkYAL,a04RB00000kUAQAYA4,a0BRB00000ynn622AA,,,2026-06-20,送付済み,決済待ち,通常,60792886
a00RB000024Vf29YAC,INV-0000000114,001RB00001VTqxsYAD,a04RB00000kUAOfYAO,a0BRB00000ynb6a2AA,,,2026-06-20,送付済み,決済待ち,通常,60792889
a00RB000024Vf2AYAS,INV-0000000115,001RB00001VTqxQYAT,a04RB00000kVL7SYAW,a0BRB00000ypw632AA,,,2026-06-20,送付済み,決済待ち,通常,60792891
a00RB000024Vf2BYAS,INV-0000000116,001RB00001VTqy1YAD,a04RB00000kUAOgYAO,a0BRB00000ynb6b2AA,,,2026-06-20,送付済み,決済待ち,通常,60792892
a00RB000024Vf2CYAS,INV-0000000117,001RB00001VTqatYAD,a04RB00000kUAQ9YAO,a0BRB00000ynn612AA,,,2026-06-20,送付済み,決済待ち,通常,60792893
a00RB000024Vf2DYAS,INV-0000000118,001RB00001VTqW8YAL,a04RB00000kUAOpYAO,a0BRB00000ynb6k2AA,,,2026-06-20,送付済み,決済待ち,通常,60792894
a00RB000024Vf2EYAS,INV-0000000119,001RB00001VTr0hYAD,a04RB00000kUAOhYAO,a0BRB00000ynb6c2AA,,,2026-06-20,送付済み,決済待ち,通常,60792896
a00RB000024Vf2FYAS,INV-0000000120,001RB00001VTrkYYAT,a04RB00000kUAQCYA4,a0BRB00000ynn642AA,,,2026-06-20,送付済み,決済待ち,通常,60792897
a00RB000024Vf2GYAS,INV-0000000121,001RB00001VTtIiYAL,a04RB00000kUAQBYA4,a0BRB00000ynn632AA,,,2026-06-20,送付済み,決済待ち,通常,60792898
a00RB000024Vf2HYAS,INV-0000000122,001RB00001VTrkRYAT,a04RB00000kUAOtYAO,a0BRB00000ynb6o2AA,,,2026-06-20,送付済み,決済待ち,通常,60792899
a00RB000024Vf2IYAS,INV-0000000123,001RB00001VTrI5YAL,a04RB00000kUAP0YAO,a0BRB00000ynb6v2AA,,,2026-06-20,送付済み,決済待ち,通常,60792900
a00RB000024Vf2JYAS,INV-0000000124,001RB00001VTrlBYAT,a04RB00000kUAOyYAO,a0BRB00000ynb6t2AA,,,2026-06-20,送付済み,決済待ち,通常,60792903
a00RB000024Vf2KYAS,INV-0000000125,001RB00001VTqgHYAT,a04RB00000kUAOzYAO,a0BRB00000ynb6u2AA,,,2026-06-20,送付済み,決済待ち,通常,60792904
a00RB000024Vf2LYAS,INV-0000000126,001RB00001VTqeXYAT,a04RB00000kUAP3YAO,a0BRB00000ynb6y2AA,,,2026-06-20,送付済み,決済待ち,通常,60792905
a00RB000024Vf2MYAS,INV-0000000127,001RB00001VTrkbYAD,a04RB00000kUAP5YAO,a0BRB00000ynb702AA,,,2026-06-20,送付済み,決済待ち,通常,60792906
a00RB000024Vf2NYAS,INV-0000000128,001RB00001VTrlqYAD,a04RB00000kUAP6YAO,a0BRB00000ynb712AA,,,2026-06-20,送付済み,決済待ち,通常,60792907
a00RB000024Vf2OYAS,INV-0000000129,001RB00001VTrqdYAD,a04RB00000kUAP7YAO,a0BRB00000ynb722AA,,,2026-06-20,送付済み,決済待ち,通常,60792909
a00RB000024Vf2PYAS,INV-0000000130,001RB00001VTqnvYAD,a04RB00000kUAP4YAO,a0BRB00000ynb6z2AA,,,2026-06-20,送付済み,決済待ち,通常,60792910
a00RB000024Vf2QYAS,INV-0000000131,001RB00001VTCZLYA5,a04RB00000kVL7PYAW,a0BRB00000ypw5x2AA,,,2026-06-30,送付待ち,決済待ち,通常,60792928
