Id,Name,FreeeInvoiceId__c,BillingDate__c,InvoiceAmount__c,ResolvedAccount__c,ResolvedContract__c,ResolvedContractPeriod__c,CreatedInvoice__c,ImportStatus__c,ValidationMessage__c
a0FRB00000WihDM2AZ,MFIW-000202,60901483,2026-06-20,14080,001RB00001VTqleYAD,a04RB00000kUAObYAO,a0BRB00000ynb6W2AQ,a00RB000027fzNtYAI,反映可能,
a0FRB00000WihDN2AZ,MFIW-000203,60904124,2026-06-20,17600,001RB00001br9KdYAI,a04RB00000n5JduYAE,a0BRB000012EChO2AW,,反映可能,
a0FRB00000WihDO2AZ,MFIW-000204,60905395,2026-06-20,198000,001RB00001VTCYEYA5,a04RB00000n5JdvYAE,a0BRB000012EChP2AW,,反映可能,
a0FRB00000WihDR2AZ,MFIW-000207,60907136,2026-06-20,33000,001RB00001br9KYYAY,a04RB00000n5JdwYAE,a0BRB000012EChQ2AW,,反映可能,
a0FRB00000WihDT2AZ,MFIW-000209,60946048,2026-06-20,8800,001RB00001br9KIYAY,a04RB00000n5JdxYAE,a0BRB000012EChR2AW,,反映可能,
a0FRB00000WihDW2AZ,MFIW-000212,60952846,2026-06-20,165000,001RB00001br9KcYAI,a04RB00000n5JdyYAE,a0BRB000012EChS2AW,,反映可能,
a0FRB00000WihDX2AZ,MFIW-000213,60953208,2026-06-20,84480,001RB00001VTqleYAD,a04RB00000kUAObYAO,a0BRB00000ynb6W2AQ,a00RB000027fzNwYAI,反映可能,
a0FRB00000WihDZ2AZ,MFIW-000215,60953721,2026-06-20,52800,001RB00001VTqf7YAD,a04RB00000kUAOjYAO,a0BRB00000ynb6e2AA,,反映可能,
a0FRB00000Ypg4s2AB,MFIW-000375,63077917,2026-07-20,145200,001RB00001br9KbYAI,a04RB00000n5Je7YAE,a0BRB000012ECiA2AW,,反映可能,
a0FRB00000Ypg4u2AB,MFIW-000377,63077927,2026-07-20,52800,001RB00001br9KWYAY,a04RB00000n5Je8YAE,a0BRB000012ECiB2AW,,反映可能,
a0FRB00000Ypg4y2AB,MFIW-000381,63077938,2026-07-20,26400,001RB00001br9KaYAI,a04RB00000n5Je9YAE,a0BRB000012ECiC2AW,,反映可能,
a0FRB00000YptF02AJ,MFIW-000386,63077950,2026-07-20,82500,001RB00001br9KeYAI,a04RB00000n5JdzYAE,a0BRB000012ECiD2AW,,反映可能,
a0FRB00000Yq7Ep2AJ,MFIW-000401,63077988,2026-07-20,33000,001RB00001br9KYYAY,a04RB00000n5JdwYAE,a0BRB000012ECiE2AW,,反映可能,
a0FRB00000Yq7Er2AJ,MFIW-000403,63077993,2026-07-20,8800,001RB00001br9KIYAY,a04RB00000n5JdxYAE,a0BRB000012ECiF2AW,,反映可能,
a0FRB00000Yq7Es2AJ,MFIW-000404,63077995,2026-07-20,52800,001RB00001VTqf7YAD,a04RB00000kUAOjYAO,a0BRB00000ynb6e2AA,,反映可能,
a0FRB00000YqK3z2AF,MFIW-000411,63125666,2026-07-20,52800,001RB00001VcyFPYAZ,a04RB00000n5Je3YAE,a0BRB000012ECiG2AW,,反映可能,
a0FRB00000YqK402AF,MFIW-000412,63125722,2026-07-20,17600,001RB00001br9KdYAI,a04RB00000n5JduYAE,a0BRB000012ECiH2AW,,反映可能,
a0FRB00000YqSO22AN,MFIW-000415,63128994,2026-07-20,82500,001RB00001VTrrHYAT,a04RB00000n5JeAYAU,a0BRB000012ECiM2AW,,反映可能,
a0FRB00000YqLuR2AV,MFIW-000426,63150551,2026-07-20,8800,001RB00001br9KSYAY,a04RB00000n5JdtYAE,a0BRB000012ECiI2AW,,反映可能,
a0FRB00000YqLuS2AV,MFIW-000427,63150553,2026-07-20,12100,001RB00001br9KgYAI,a04RB00000n5JdiYAE,a0BRB000012ECiJ2AW,,反映可能,
a0FRB00000YqLuT2AV,MFIW-000428,63150554,2026-07-20,48400,001RB00001br9KfYAI,a04RB00000n5JdjYAE,a0BRB000012ECiK2AW,,反映可能,
a0FRB00000YqLuU2AV,MFIW-000429,63150555,2026-07-20,8800,001RB00001br9KNYAY,a04RB00000n5JdkYAE,a0BRB000012ECiL2AW,,反映可能,
a0FRB00000Yr46j2AB,MFIW-000435,63150568,2026-07-20,8800,001RB00001br9KLYAY,a04RB00000n5JdlYAE,a0BRB000012ECiN2AW,,反映可能,
a0FRB00000Yr46l2AB,MFIW-000437,63150570,2026-07-20,48400,001RB00001br9KMYAY,a04RB00000n5JdmYAE,a0BRB000012ECiO2AW,,反映可能,
a0FRB00000Yr46r2AB,MFIW-000443,63150578,2026-07-20,8800,001RB00001br9KQYAY,a04RB00000n5JdnYAE,a0BRB000012ECiP2AW,,反映可能,
a0FRB00000YrJ2X2AV,MFIW-000445,63150580,2026-07-20,8800,001RB00001br9KOYAY,a04RB00000n5JdoYAE,a0BRB000012ECiQ2AW,,反映可能,
