Id,Name,FreeeInvoiceId__c,BillingDate__c,InvoiceAmount__c,ResolvedAccount__c,ResolvedContract__c,ResolvedContractPeriod__c,CreatedInvoice__c,CreatedInvoice__r.Name,ImportStatus__c,ValidationMessage__c
a0FRB00000UtLlh2AF,MFIW-000123,60518749,2026-06-10,693000,001RB00001VTraTYAT,a04RB00000kUAOUYA4,a0BRB00000ynb6P2AQ,a00RB000024Vf21YAC,INV-0000000106,反映済み,
a0FRB00000UtM532AF,MFIW-000124,60970507,2026-06-18,217800,001RB00001VTruAYAT,a04RB00000kVL7YYAW,a0BRB00000ypw6B2AQ,a00RB000024Vf22YAC,INV-0000000107,反映済み,
a0FRB00000UtM9t2AF,MFIW-000125,58810995,2026-06-19,33000,001RB00001c9XXpYAM,,,,,要確認,"契約管理を特定できません。取引先に有効な契約管理があるか確認してください。
契約期間を特定できません。請求日を含む契約期間があるか確認してください。"
a0FRB00000UtM9u2AF,MFIW-000126,59151137,2026-06-19,52800,001RB00001VcyFPYAZ,a04RB00000kVL7hYAG,a0BRB00000ypw6N2AQ,a00RB000024Vf24YAC,INV-0000000109,要確認,請求金額と明細合計が一致していません。請求金額=52800、明細合計=105600
a0FRB00000UtM9v2AF,MFIW-000127,60979452,2026-06-19,26400,001RB00001UvdpFYAR,a04RB00000n5JdhYAE,a0BRB000012EChB2AW,a00RB000023liu7YAA,INV-0000000003,反映済み,
a0FRB00000UtM9w2AF,MFIW-000128,60984868,2026-06-19,544500,001RB00001VTCZ9YAP,a04RB00000kVL7LYAW,a0BRB00000ypw5s2AA,a00RB000024Vf25YAC,INV-0000000110,反映済み,
a0FRB00000UtMBV2A3,MFIW-000129,60792877,2026-06-20,229900,001RB00001VTqUVYA1,a04RB00000kVL7iYAG,a0BRB00000ypw6R2AQ,a00RB000024Vf26YAC,INV-0000000111,反映済み,
a0FRB00000UtMBW2A3,MFIW-000130,60792884,2026-06-20,145200,001RB00001VTqbXYAT,a04RB00000kUAOTYA4,a0BRB00000ynb6O2AQ,a00RB000024Vf27YAC,INV-0000000112,反映済み,
a0FRB00000UtMBX2A3,MFIW-000131,60792886,2026-06-20,12100,001RB00001VTrGkYAL,a04RB00000kUAQAYA4,a0BRB00000ynn622AA,a00RB000024Vf28YAC,INV-0000000113,反映済み,
a0FRB00000UtMBY2A3,MFIW-000132,60792889,2026-06-20,52800,001RB00001VTqxsYAD,a04RB00000kUAOfYAO,a0BRB00000ynb6a2AA,a00RB000024Vf29YAC,INV-0000000114,反映済み,
a0FRB00000UtMBZ2A3,MFIW-000133,60792891,2026-06-20,275000,001RB00001VTqxQYAT,a04RB00000kVL7SYAW,a0BRB00000ypw632AA,a00RB000024Vf2AYAS,INV-0000000115,反映済み,
a0FRB00000UtMBa2AN,MFIW-000134,60792892,2026-06-20,17600,001RB00001VTqy1YAD,a04RB00000kUAOgYAO,a0BRB00000ynb6b2AA,a00RB000024Vf2BYAS,INV-0000000116,反映済み,
a0FRB00000UtMBb2AN,MFIW-000135,60792893,2026-06-20,60500,001RB00001VTqatYAD,a04RB00000kUAQ9YAO,a0BRB00000ynn612AA,a00RB000024Vf2CYAS,INV-0000000117,反映済み,
a0FRB00000UtMBc2AN,MFIW-000136,60792894,2026-06-20,26400,001RB00001VTqW8YAL,a04RB00000kUAOpYAO,a0BRB00000ynb6k2AA,a00RB000024Vf2DYAS,INV-0000000118,反映済み,
