"RelatedInvoice__c","Id","Name","MasterContract__c","Month__c","PeriodStartDate__c","ProductMaster__c","ProductMaster__r.Name","Total__c","RevenueAmount__c","CreatedDate"
"a00RB00002B5oLFYAZ","a03RB00001NswiEYAR","日鉄興和不動産株式会社_2026/12","a04RB00000kUAOqYAO","2026/12","2026-12-01","","","140000","","2026-06-21T16:13:56.000+0000"
"a00RB00002B5oLFYAZ","a03RB00001NswiFYAR","日鉄興和不動産株式会社_2027/01","a04RB00000kUAOqYAO","2027/01","2027-01-01","","","140000","","2026-06-21T16:13:56.000+0000"
"a00RB00002B5oLFYAZ","a03RB00001NswiGYAR","日鉄興和不動産株式会社_2027/02","a04RB00000kUAOqYAO","2027/02","2027-02-01","","","140000","","2026-06-21T16:13:56.000+0000"
"a00RB00002B5oLFYAZ","a03RB00001NswiHYAR","日鉄興和不動産株式会社_2027/03","a04RB00000kUAOqYAO","2027/03","2027-03-01","","","140000","","2026-06-21T16:13:56.000+0000"
"a00RB00002B5oLFYAZ","a03RB00001NswiIYAR","日鉄興和不動産株式会社_2027/04","a04RB00000kUAOqYAO","2027/04","2027-04-01","","","140000","","2026-06-21T16:13:56.000+0000"
"a00RB00002B5oLLYAZ","a03RB00001NswgCYAR","大塚商会（大和財宅）_2025/09","a04RB00000kUAObYAO","2025/09","2025-09-01","a0CRB0000CcXZ6R2QW","[代理販売20%] Rendery Proプラン","88000","88000","2026-06-21T16:13:56.000+0000"
"a00RB00002B5oLLYAZ","a03RB00001NswgDYAR","大塚商会（大和財宅）_2025/10","a04RB00000kUAObYAO","2025/10","2025-10-01","a0CRB0000CcXZ6R2QW","[代理販売20%] Rendery Proプラン","88000","88000","2026-06-21T16:13:56.000+0000"
"a00RB00002B5oLLYAZ","a03RB00001NswgEYAR","大塚商会（大和財宅）_2025/11","a04RB00000kUAObYAO","2025/11","2025-11-01","a0CRB0000CcXZ6R2QW","[代理販売20%] Rendery Proプラン","88000","88000","2026-06-21T16:13:56.000+0000"
"a00RB00002B5oLLYAZ","a03RB00001NswgFYAR","大塚商会（大和財宅）_2025/12","a04RB00000kUAObYAO","2025/12","2025-12-01","a0CRB0000CcXZ6R2QW","[代理販売20%] Rendery Proプラン","88000","88000","2026-06-21T16:13:56.000+0000"
"a00RB00002B5oLLYAZ","a03RB00001NswgGYAR","大塚商会（大和財宅）_2026/01","a04RB00000kUAObYAO","2026/01","2026-01-01","a0CRB0000CcXZ6R2QW","[代理販売20%] Rendery Proプラン","88000","88000","2026-06-21T16:13:56.000+0000"
"a00RB00002B5oLLYAZ","a03RB00001NswgHYAR","大塚商会（大和財宅）_2026/02","a04RB00000kUAObYAO","2026/02","2026-02-01","a0CRB0000CcXZ6R2QW","[代理販売20%] Rendery Proプラン","88000","88000","2026-06-21T16:13:56.000+0000"
"a00RB00002B5oLLYAZ","a03RB00001NswgIYAR","大塚商会（大和財宅）_2026/03","a04RB00000kUAObYAO","2026/03","2026-03-01","a0CRB0000CcXZ6R2QW","[代理販売20%] Rendery Proプラン","88000","88000","2026-06-21T16:13:56.000+0000"
"a00RB00002B5oLLYAZ","a03RB00001NswgJYAR","大塚商会（大和財宅）_2026/04","a04RB00000kUAObYAO","2026/04","2026-04-01","a0CRB0000CcXZ6R2QW","[代理販売20%] Rendery Proプラン","88000","88000","2026-06-21T16:13:56.000+0000"
"a00RB00002B5oLLYAZ","a03RB00001NswgKYAR","大塚商会（大和財宅）_2026/05","a04RB00000kUAObYAO","2026/05","2026-05-01","a0CRB0000CcXZ6R2QW","[代理販売20%] Rendery Proプラン","88000","88000","2026-06-21T16:13:56.000+0000"
"a00RB00002B5oLLYAZ","a03RB00001NswgLYAR","大塚商会（大和財宅）_2026/06","a04RB00000kUAObYAO","2026/06","2026-06-01","a0CRB0000CcXZ6R2QW","[代理販売20%] Rendery Proプラン","88000","88000","2026-06-21T16:13:56.000+0000"
"a00RB00002B5oLLYAZ","a03RB00001VUaocYAD","a03RB00001VUaoc","a04RB00000kUAObYAO","2026/07","2026-07-01","a0CRB0000CcXZ6W2QW","[代理販売20%] Rendery Enterpriseプラン","120000","120000","2026-07-28T04:58:43.000+0000"
"a00RB00002B5oLLYAZ","a03RB00001NswgMYAR","大塚商会（大和財宅）_2026/07","a04RB00000kUAObYAO","2026/07","2026-07-01","a0CRB0000CcXZ6R2QW","[代理販売20%] Rendery Proプラン","88000","88000","2026-06-21T16:13:56.000+0000"
"a00RB00002B5oLLYAZ","a03RB00001NswgNYAR","大塚商会（大和財宅）_2026/08","a04RB00000kUAObYAO","2026/08","2026-08-01","a0CRB0000CcXZ6R2QW","[代理販売20%] Rendery Proプラン","88000","88000","2026-06-21T16:13:56.000+0000"
