"sf__Id","sf__Created",Name,ACV__c,ContractUpdate__c,Account__c,Contact__c,Description__c,ExpectedCloseDate__c,LostDate__c,LostReason__c,MRR__c,NextActivityDate__c,NextStep__c,StageName__c,StandardCloseDate__c,StandardProbability__c,StartDate__c,StandardStartDate__c,ExpectedDuration__c
"a08RB00001Z16R4YAJ","true","乃村工藝社 の取引","900000.0","月","001RB00001VTCZZYA5","","","2026-06-01","","","75000.0","","","ValueProposition","","","","",""
"a08RB00001Z16R5YAJ","true","株式会社 アイエス不動産 の取引","162700.0","月","001RB00001VTqnrYAD","","","","","","12100.0","","","Closed Won","2025-08-06","","","",""
"a08RB00001Z16R6YAJ","true","株式会社飯田組 の取引","211200.0","月","001RB00001VTrvIYAT","","","","","","17600.0","","","Closed Won","2025-10-08","","","",""
"a08RB00001Z16R7YAJ","true","株式会社ディア・ライフ の取引","0.0","月","001RB00001VTqkeYAD","","","","","","0.0","","","Closed Lost","","","","",""
"a08RB00001Z16R8YAJ","true","清水建設株式会社 の取引","660000.0","月","001RB00001VTrvxYAD","","","","","","55000.0","","","Closed Lost","","","","",""
"a08RB00001Z16R9YAJ","true","大東建託株式会社 の取引","0.0","月","001RB00001VTruMYAT","","","","2025-11-28","Needs mismatch","0.0","","","Closed Lost","2025-11-28","","","",""
"a08RB00001Z16RAYAZ","true","TOPPAN株式会社 の取引","0.0","月","001RB00001VTqb8YAD","","","","","","0.0","","","Negotiation","","","","",""
"a08RB00001Z16RBYAZ","true","東急不動産ホールディングス株式会社/東急不動産株式会社 の取引","2640000.0","月","001RB00001VTqkvYAD","","","","","","220000.0","","","ValueProposition","","","","",""
"a08RB00001Z16RCYAZ","true","大林ファシリティーズ株式会社 の取引","105600.0","月","001RB00001VTqjfYAD","","","","","","8800.0","2025-08-20","","Closed Won","2025-08-20","","","",""
"a08RB00001Z16RDYAZ","true","TBCグループ株式会社 の取引","0.0","月","001RB00001VTqnXYAT","003RB00001NsV40YAF","","","","","0.0","","","Closed Lost","","","","",""
"a08RB00001Z16REYAZ","true","Asplead株式会社 の取引","211200.0","月","001RB00001VTqnvYAD","003RB00001NsUI3YAN","","2026-03-30","","","17600.0","","","Closed Won","2026-03-25","","","",""
"a08RB00001Z16RFYAZ","true","三菱地所レジデンス の取引","211200.0","月","001RB00001VTqf7YAD","","","","","","17600.0","","","Closed Won","2026-01-08","","","",""
"a08RB00001Z16RGYAZ","true","TOPPAN株式会社 の取引","211200.0","月","001RB00001VTqb8YAD","","","","","","17600.0","2025-12-19","","Closed Lost","","","","",""
"a08RB00001Z16RHYAZ","true","ビルド・ワークス の取引","105600.0","月","001RB00001VTqnwYAD","003RB00001NsUI5YAN","","","","","8800.0","","","Closed Won","2025-09-01","","","",""
