Id,Name,MasterContract__c,MasterContract__r.Status__c,ContractPeriod__c,Month__c,ProductMaster__c,RevenueAmount__c,MRR_Target__c,PeriodStartDate__c,PeriodEndDate__c,CreatedDate
a03RB00001STmHwYAL,株式会社ケン・プロパティマネジメント_2026/08,a04RB00000kUAQAYA4,Activated,a0BRB000010uuky2AA,2026/08,a0CRB0000CcXZ6i2QG,11000,false,2026-08-01,2026-08-31,2026-07-10T16:30:03.000+0000
a03RB00001STmHxYAL,株式会社建新_2026/08,a04RB00000kUAQBYA4,Activated,a0BRB000010uukz2AA,2026/08,a0CRB0000CcXZ6i2QG,11000,false,2026-08-01,2026-08-31,2026-07-10T16:30:03.000+0000
a03RB00001STmHyYAL,株式会社夢のおてつだい_2026/08,a04RB00000kUAQCYA4,Activated,a0BRB000010uul02AA,2026/08,a0CRB0000CcXZ6j2QG,55000,false,2026-08-01,2026-08-31,2026-07-10T16:30:03.000+0000
a03RB00001VU9YAYA1,a03RB00001VU9YA,a04RB00000nCFH5YAO,Draft,a0BRB000012ZyPR2A0,2026/08,a0CRB0000Ck3ReH2QU,150000,false,2026-08-01,2026-08-31,2026-07-28T06:51:53.000+0000
a03RB00001VVITJYA5,a03RB00001VVITJ,a04RB00000nCVWrYAO,Draft,a0BRB000012ZwHB2A0,2026/08,a0CRB0000CcXZ6Q2QW,8000,true,2026-08-01,2026-08-31,2026-07-28T06:46:08.000+0000
a03RB00001VZHRpYAP,a03RB00001VZHRp,a04RB00000nD5TtYAK,Draft,a0BRB000012bYDx2AM,2026/08,a0CRB0000CcXZ6V2QW,105000,true,2026-08-01,2026-08-31,2026-07-28T10:58:58.000+0000
a03RB00001VrXgEYAV,a03RB00001VrXgE,a04RB00000nI5BVYA0,Draft,a0BRB000012nzgf2AA,2026/08,a0CRB0000CcXZ6V2QW,75000,true,2026-08-01,2026-08-31,2026-07-30T04:11:52.000+0000
a03RB00001Vsf74YAB,a03RB00001Vsf74,a04RB00000nIA1VYAW,Draft,a0BRB000012oRhh2AE,2026/08,a0CRB0000CcXZ6Q2QW,8000,true,2026-08-01,2026-08-31,2026-07-30T04:34:08.000+0000
a03RB00001WSLkwYAH,a03RB00001WSLkw,a04RB00000nQDdJYAW,Draft,a0BRB000013FRP42AO,2026/08,a0CRB0000CcXZ6Q2QW,16000,true,2026-08-01,2026-08-31,2026-08-03T02:28:16.000+0000
a03RB00001WSLkxYAH,a03RB00001WSLkx,a04RB00000nQDdJYAW,Draft,a0BRB000013FRP42AO,2026/08,a0CRB0000CcXZ6Q2QW,16000,true,2026-08-01,2026-08-31,2026-08-03T02:28:16.000+0000
a03RB00001WSLkyYAH,a03RB00001WSLky,a04RB00000nQDdJYAW,Draft,a0BRB000013FRP42AO,2026/08,a0CRB0000CcXZ6Q2QW,16000,true,2026-08-01,2026-08-31,2026-08-03T02:28:16.000+0000
a03RB00001WSLkzYAH,a03RB00001WSLkz,a04RB00000nQDdJYAW,Draft,a0BRB000013FRP42AO,2026/08,a0CRB0000CcXZ6Q2QW,16000,true,2026-08-01,2026-08-31,2026-08-03T02:28:16.000+0000
a03RB00001WSLl0YAH,a03RB00001WSLl0,a04RB00000nQDdJYAW,Draft,a0BRB000013FRP42AO,2026/08,a0CRB0000CcXZ6Q2QW,16000,true,2026-08-01,2026-08-31,2026-08-03T02:28:16.000+0000
a03RB00001WSLl1YAH,a03RB00001WSLl1,a04RB00000nQDdJYAW,Draft,a0BRB000013FRP42AO,2026/08,a0CRB0000CcXZ6Q2QW,16000,true,2026-08-01,2026-08-31,2026-08-03T02:28:16.000+0000
a03RB00001WYiuvYAD,a03RB00001WYiuv,a04RB00000nRlg9YAC,更新予定,a0BRB000013IDuF2AW,2026/08,a0CRB0000CcXZ6V2QW,2500,true,2026-08-01,2026-08-31,2026-08-03T09:12:18.000+0000
a03RB00001WYiuwYAD,a03RB00001WYiuw,a04RB00000nRlg9YAC,更新予定,a0BRB000013IDuF2AW,2026/08,a0CRB0000CcXZ6V2QW,2500,true,2026-08-01,2026-08-31,2026-08-03T09:12:18.000+0000
a03RB00001WYiuxYAD,a03RB00001WYiux,a04RB00000nRlg9YAC,更新予定,a0BRB000013IDuF2AW,2026/08,a0CRB0000CcXZ6V2QW,2500,true,2026-08-01,2026-08-31,2026-08-03T09:12:18.000+0000
a03RB00001WYiuyYAD,a03RB00001WYiuy,a04RB00000nRlg9YAC,更新予定,a0BRB000013IDuF2AW,2026/08,a0CRB0000CcXZ6V2QW,2500,true,2026-08-01,2026-08-31,2026-08-03T09:12:18.000+0000
a03RB00001WYiuzYAD,a03RB00001WYiuz,a04RB00000nRlg9YAC,更新予定,a0BRB000013IDuF2AW,2026/08,a0CRB0000CcXZ6V2QW,2500,true,2026-08-01,2026-08-31,2026-08-03T09:12:18.000+0000
a03RB00001WYiv0YAD,a03RB00001WYiv0,a04RB00000nRlg9YAC,更新予定,a0BRB000013IDuF2AW,2026/08,a0CRB0000CcXZ6V2QW,2500,true,2026-08-01,2026-08-31,2026-08-03T09:12:18.000+0000
a03RB00001WYiv1YAD,a03RB00001WYiv1,a04RB00000nRlg9YAC,更新予定,a0BRB000013IDuF2AW,2026/08,a0CRB0000CcXZ6V2QW,2500,true,2026-08-01,2026-08-31,2026-08-03T09:12:18.000+0000
a03RB00001WYiv2YAD,a03RB00001WYiv2,a04RB00000nRlg9YAC,更新予定,a0BRB000013IDuF2AW,2026/08,a0CRB0000CcXZ6V2QW,2500,true,2026-08-01,2026-08-31,2026-08-03T09:12:18.000+0000
