"Name","ACV__c","ContractUpdate__c","Account__c","Contact__c","Description__c","ExpectedCloseDate__c","LostDate__c","LostReason__c","MRR__c","NextActivityDate__c","NextStep__c","StageName__c","StandardCloseDate__c","StandardProbability__c","StartDate__c","StandardStartDate__c","ExpectedDuration__c"
"地盤ネット株式会社 の取引","422400","月","001BS00001bgWMnYAM","003BS00000f4JHoYAM","","","","","35200","","","Prospecting","","","","",""
"株式会社Lakke の取引","145200","月","001BS00001bgVihYAE","","","","","","12100","","","Closed Won","2025-11-10","","","",""
"株式会社ササキハウス の取引","145200","月","001BS00001bgWC8YAM","003BS00000f4UHGYA2","","","","","12100","","","Closed Won","2025-11-24","","","",""
"生和コーポレーション株式会社 Update","1800000","月","001BS00001bgVaQYAU","","","","","","150000","","","ValueProposition","","","","",""
"群馬セキスイハイム株式会社","211200","月","001BS00001bgWOaYAM","","","2026-03-01","","","17600","","","Negotiation","","","","",""
"石友ホーム株式会社 の取引","0","月","001BS00001bgWBDYA2","003BS00000f4QECYA2","","","","","0","","","Prospecting","","","","",""
"JR九州コンサルタンツ株式会社","105600","月","001BS00001bgVbmYAE","003BS00000f4P4ZYAU","","","","","8800","","","Closed Won","2025-11-14","","","",""
"ハゼモト建設株式会社","726000","月","001BS00001bgVikYAE","","","","","","60500","","","Closed Won","2025-11-17","","","",""
"(株)ビ・ハウス","528000","月","001BS00001bgVj3YAE","","","","","","44000","2025-11-17","","Closed Lost","","","","",""
"株式会社IAO竹田設計 の取引","0","月","001BS00001bgVjHYAU","003BS00000f4QEDYA2","","","","","0","","","Closed Lost","","","","",""
"イナバインターナショナル株式会社 の取引","900000","月","001BS00001bgVjKYAU","003BS00000f4QEFYA2","","","","","75000","","","Closed Lost","","","","",""
"株式会社THREE","211200","月","001BS00001bgVjIYAU","003BS00000f4UHcYAM","","","","","17600","","","Closed Won","2025-11-21","","","",""
"株式会社オフィスネット","211200","月","001BS00001bgVtvYAE","003BS00000f4QIgYAM","","","","","17600","","","Prospecting","","","","",""
"株式会社エドケンハウス の取引","0","月","001BS00001bgVtwYAE","003BS00000f4QEHYA2","","","2026-03-02","Budget shortage - initial or migration cost","0","","","Closed Lost","2026-03-02","","","",""
"株式会社スタジオ・ノア の取引","105600","月","001BS00001bgVtxYAE","003BS00000f4UHdYAM","","","","","8800","","","Prospecting","","","","",""
"株式会社アイリン の取引","211200","月","001BS00001bgVbDYAU","003BS00000f4QEIYA2","","","","","17600","","","Prospecting","","","","",""
"三井住友建設 の取引","105600","月","001BS00001bgVSLYA2","003BS00000f4KtsYAE","","","","","8800","2026-03-17","","Closed Won","2026-03-24","","","",""
"株式会社エサキホーム の取引","0","月","001BS00001bgVtyYAE","003BS00000f4QEKYA2","","","","","0","","","ValueProposition","","","","",""
"株式会社ケン・プロパティマネジメント","145200","月","001BS00001bgVusYAE","003BS00000f4QIdYAM","","","","","12100","","","Closed Won","2025-11-28","","","",""
"株式会社エドケンハウス","105600","月","001BS00001bgVtwYAE","003BS00000f4QEHYA2","","","","","8800","","","Prospecting","","","","",""
"創建ホーム株式会社","1008000","月","001BS00001bgWGVYA2","003BS00000f4KYhYAM","","2026-04-30","","","84000","2026-03-03","","Closed Won","2026-06-04","","","",""
"株式会社中村不動産開発","145200","月","001BS00001bgVutYAE","003BS00000f4QIeYAM","","","","","12100","","","Closed Won","2025-12-08","","","",""
"オフィスコム株式会社","211200","月","001BS00001bgVuvYAE","003BS00000f4UHhYAM","","2026-03-01","","","17600","2026-02-09","","ValueProposition","","","","",""
"株式会社丹青社","316800","月","001BS00001bgVlrYAE","003BS00000f4UHiYAM","","2026-07-01","","","26400","2025-12-16","","ValueProposition","","","","",""
"田中土建工業株式会社","844800","月","001BS00001bgVbVYAU","003BS00000f4Nc5YAE","","","","","70400","","","Prospecting","","","","",""
"東急株式会社","0","月","001BS00001bgWKqYAM","","","","","","0","","","ValueProposition","","","","",""
"株式会社竹中工務店","900000","月","001BS00001bgWH2YAM","","","2026-07-01","","","75000","","","Prospecting","","","","",""
"大京穴吹不動産株式会社","1122000","月","001BS00001bgW5gYAE","003BS00000f4QIhYAM","","","","","93500","","","ValueProposition","","","","",""
"信和不動産株式会社 の取引","2450000","月","001BS00001bgVuwYAE","003BS00000f4QIiYAM","","2026-06-01","","","175000","","","Negotiation","","","","",""
"株式会社ひなたや の取引","105600","月","001BS00001bgVuyYAE","003BS00000f4QIkYAM","","","","","8800","","","Closed Lost","","","","",""
"株式会社キムラタン の取引","7000","月","001BS00001bgW5KYAU","003BS00000f4FU5YAM","","","","","0","","","Closed Won","2026-01-05","","","",""
"大東建託株式会社 流通設計部","3240000","月","001BS00001bgWNCYA2","","","2026-07-22","","","270000","2026-04-21","","ValueProposition","","","","",""
"前田建設工業株式会社","900000","月","001BS00001bgWOLYA2","","","","","","75000","","","Closed Won","2026-01-15","","","",""
"（株）えん道エステート の取引","0","月","001BS00001bgVa6YAE","","","","","","0","","","Qualification","","","","",""
"柏井建設 株式会社","900000","月","001BS00001bgVwDYAU","003BS00000f4FUeYAM","","2026-03-05","","","75000","","","Closed Won","2026-03-05","","","",""
