"Id","Name","InvoiceWork__c","Description__c","Quantity__c","UnitPrice__c","LineAmount__c","SuggestedProductMaster__c","ConfirmedProductMaster__c","ProductResolveStatus__c","ImportStatus__c","CreatedInvoiceLine__c","ResolveMessage__c"
"a0ERB00000PIHgk2AH","MFILW-000498","a0FRB00000YptF02AJ","Rendery Enterpriseプラン5アカウント_月額","5","15000","75000","a0CRB0000CcXZ6V2QW","a0CRB0000CcXZ6V2QW","確定済み","取得済み",,"過去の確定済み明細と、明細名・単価・数量・金額・商品候補が完全一致したため自動確定しました。"
"a0ERB00000PIHgm2AH","MFILW-000500","a0FRB00000YptF22AJ","Rendery_Proプラン_5アカウント(月額費用)","5","8000","40000","a0CRB0000CcXZ6Q2QW",,"候補あり","取得済み",,"Matched by unit price and product name."
"a0ERB00000PISaX2AX","MFILW-000518","a0FRB00000YqK3t2AF","Rendery Enterpriseプラン_10アカウント_月額費用","10","12000","120000","a0CRB0000CcXZ6W2QW",,"候補あり","取得済み",,"Matched by unit price and product name."
"a0ERB00000PISaY2AX","MFILW-000519","a0FRB00000YqK3t2AF","Rendery Enterpriseプラン_10アカウント_月額費用","10","12000","120000","a0CRB0000CcXZ6W2QW",,"候補あり","取得済み",,"Matched by unit price and product name."
"a0ERB00000PISaZ2AX","MFILW-000520","a0FRB00000YqK3t2AF","Rendery Enterpriseプラン_10アカウント_月額費用","10","12000","120000","a0CRB0000CcXZ6W2QW",,"候補あり","取得済み",,"Matched by unit price and product name."
"a0ERB00000PISaa2AH","MFILW-000521","a0FRB00000YqK3t2AF","Rendery Enterpriseプラン_10アカウント_月額費用","10","12000","120000","a0CRB0000CcXZ6W2QW",,"候補あり","取得済み",,"Matched by unit price and product name."
"a0ERB00000PISab2AH","MFILW-000522","a0FRB00000YqK3t2AF","Rendery Enterpriseプラン_10アカウント_月額費用","10","12000","120000","a0CRB0000CcXZ6W2QW",,"候補あり","取得済み",,"Matched by unit price and product name."
"a0ERB00000PISac2AH","MFILW-000523","a0FRB00000YqK3t2AF","Rendery Enterpriseプラン_10アカウント_月額費用","10","12000","120000","a0CRB0000CcXZ6W2QW",,"候補あり","取得済み",,"Matched by unit price and product name."
"a0ERB00000PISad2AH","MFILW-000524","a0FRB00000YqK3t2AF","Rendery Enterpriseプラン_10アカウント_月額費用","10","12000","120000","a0CRB0000CcXZ6W2QW",,"候補あり","取得済み",,"Matched by unit price and product name."
"a0ERB00000PISae2AH","MFILW-000525","a0FRB00000YqK3t2AF","Rendery Enterpriseプラン_10アカウント_月額費用","10","12000","120000","a0CRB0000CcXZ6W2QW",,"候補あり","取得済み",,"Matched by unit price and product name."
