"Id","Name","FreeeInvoiceId__c","FreeeInvoiceNumber__c","PartnerName__c","BillingDate__c","InvoiceAmount__c","ImportStatus__c","ResolvedAccount__c","ResolvedContract__c","ResolvedContractPeriod__c","CreatedInvoice__c","ValidationMessage__c"
"a0FRB00000Wj5UI2AZ","MFIW-000321","56527564","INV-0000001157","九州旅客鉄道株式会社(開発工事部)","2026-04-20","8800","要確認","001RB00001br9KQYAY",,,,"契約管理を特定できません。取引先に有効な契約管理があるか確認してください。
契約期間を特定できません。請求日を含む契約期間があるか確認してください。"
"a0FRB00000Wj5UK2AZ","MFIW-000323","56527566","INV-0000001159","株式会社ＬＩＸＩＬ住宅研究所","2026-04-20","8800","要確認","001RB00001br9KOYAY",,,,"契約管理を特定できません。取引先に有効な契約管理があるか確認してください。
契約期間を特定できません。請求日を含む契約期間があるか確認してください。"
"a0FRB00000Wj5UM2AZ","MFIW-000325","56647918","INV-0000001161","福井コンピュータアーキテクト","2026-04-20","5181000","要確認","001RB00001br9KZYAY",,,,"契約管理を特定できません。取引先に有効な契約管理があるか確認してください。
契約期間を特定できません。請求日を含む契約期間があるか確認してください。
商品マスタが未確定の請求明細Workがあります。候補商品を確認し、商品マスタを確定してください。"
"a0FRB00000Wj5UO2AZ","MFIW-000327","56676178","INV-0000001163","東急建設株式会社","2026-04-20","105600","要確認","001RB00001VTrseYAD","a04RB00000kUANhYAO","a0BRB00000ynb5c2AA",,"商品マスタが未確定の請求明細Workがあります。候補商品を確認し、商品マスタを確定してください。"
"a0FRB00000Wj5UQ2AZ","MFIW-000329","56678351","INV-0000001165","株式会社大塚商会","2026-04-20","14080","要確認","001RB00001VTqleYAD","a04RB00000kUAObYAO","a0BRB00000ynb6W2AQ",,"商品マスタが未確定の請求明細Workがあります。候補商品を確認し、商品マスタを確定してください。"
"a0FRB00000Wj5UR2AZ","MFIW-000330","56678813","INV-0000001166","株式会社大塚商会","2026-04-20","7040","要確認","001RB00001VTqleYAD","a04RB00000kUAObYAO","a0BRB00000ynb6W2AQ",,"商品マスタが未確定の請求明細Workがあります。候補商品を確認し、商品マスタを確定してください。"
"a0FRB00000Wj5US2AZ","MFIW-000331","56679018","INV-0000001167","株式会社アーキテクト・ディベロッパー","2026-04-20","52800","要確認","001RB00001VcyFPYAZ",,,,"契約管理を特定できません。取引先に有効な契約管理があるか確認してください。
契約期間を特定できません。請求日を含む契約期間があるか確認してください。"
"a0FRB00000Wj5UT2AZ","MFIW-000332","56680866","INV-0000001168","三菱地所株式会社(DX推進部)","2026-04-20","17600","要確認","001RB00001br9KdYAI",,,,"契約管理を特定できません。取引先に有効な契約管理があるか確認してください。
契約期間を特定できません。請求日を含む契約期間があるか確認してください。"
"a0FRB00000WjFOi2AN","MFIW-000334","56681536","INV-0000001170","株式会社石勝エクステリア","2026-04-20","1716000","要確認","001RB00001VTqnMYAT",,,,"契約管理を特定できません。取引先に有効な契約管理があるか確認してください。
契約期間を特定できません。請求日を含む契約期間があるか確認してください。
商品マスタが未確定の請求明細Workがあります。候補商品を確認し、商品マスタを確定してください。"
"a0FRB00000WjFOj2AN","MFIW-000335","56682295","INV-0000001171","野村不動産株式会社","2026-04-20","198000","要確認","001RB00001VTCYEYA5",,,,"契約管理を特定できません。取引先に有効な契約管理があるか確認してください。
契約期間を特定できません。請求日を含む契約期間があるか確認してください。"
"a0FRB00000WjFOq2AN","MFIW-000342","56685582","INV-0000001178","近鉄不動産株式会社","2026-04-20","676500","要確認","001RB00001VTrvcYAD",,,,"契約管理を特定できません。取引先に有効な契約管理があるか確認してください。
契約期間を特定できません。請求日を含む契約期間があるか確認してください。
商品マスタが未確定の請求明細Workがあります。候補商品を確認し、商品マスタを確定してください。"
"a0FRB00000WjFOt2AN","MFIW-000345","56692848","INV-0000001181","アイリスチトセ株式会社","2026-04-20","84700","要確認","001RB00001VTqlZYAT",,,,"契約管理を特定できません。取引先に有効な契約管理があるか確認してください。
契約期間を特定できません。請求日を含む契約期間があるか確認してください。"
"a0FRB00000WjFOu2AN","MFIW-000346","56693657","INV-0000001182","株式会社フジタ","2026-04-20","924000","要確認","001RB00001VTrwFYAT",,,,"契約管理を特定できません。取引先に有効な契約管理があるか確認してください。
契約期間を特定できません。請求日を含む契約期間があるか確認してください。
商品マスタが未確定の請求明細Workがあります。候補商品を確認し、商品マスタを確定してください。"
"a0FRB00000WjFOx2AN","MFIW-000349","56697026","INV-0000001185","株式会社フジタ","2026-04-20","1293600","要確認","001RB00001VTrwFYAT",,,,"契約管理を特定できません。取引先に有効な契約管理があるか確認してください。
契約期間を特定できません。請求日を含む契約期間があるか確認してください。
商品マスタが未確定の請求明細Workがあります。候補商品を確認し、商品マスタを確定してください。"
"a0FRB00000WjFOy2AN","MFIW-000350","56698344","INV-0000001186","株式会社フジタ","2026-04-20","554400","要確認","001RB00001VTrwFYAT",,,,"契約管理を特定できません。取引先に有効な契約管理があるか確認してください。
契約期間を特定できません。請求日を含む契約期間があるか確認してください。
商品マスタが未確定の請求明細Workがあります。候補商品を確認し、商品マスタを確定してください。"
"a0FRB00000WjFOz2AN","MFIW-000351","56701208","INV-0000001187","株式会社JBリアルエステート","2026-04-20","12100","要確認","001RB00001br9KRYAY",,,,"契約管理を特定できません。取引先に有効な契約管理があるか確認してください。
契約期間を特定できません。請求日を含む契約期間があるか確認してください。
商品マスタが未確定の請求明細Workがあります。候補商品を確認し、商品マスタを確定してください。"
"a0FRB00000UtKjB2AV","MFIW-000087","58268807","INV-0000001195","トヨタ・コニック・プロ株式会社","2026-05-12","0","要確認","001RB00001VTrkUYAT","a04RB00000kVL7OYAW","a0BRB00000ypw5v2AA","a00RB000024Ux5JYAS","同じfreee請求書IDのSalesforce請求は存在しますが、すべての請求明細を照合できませんでした。既存の請求明細と移行Workの明細を確認してください。"
