"Id","Name","FreeeInvoiceId__c","ImportStatus__c","CreatedInvoice__c","CreatedInvoiceFreeeId","CreatedInvoiceExternalKey","ResolvedAccount__c","ResolvedContract__c","ResolvedContractPeriod__c","ValidationMessage__c"
"a0FRB00000Wj59V2AR","MFIW-000289","54153853","反映済み","a00RB00002Am2AXYAZ","54153853","freee_invoice:3687550:54153853","001RB00001VTqU3YAL","a04RB00000kUAO7YAO","a0BRB00000ynb622AA",
"a0FRB00000Wj59W2AR","MFIW-000290","54153854","反映済み","a00RB00002Am2AYYAZ","54153854","freee_invoice:3687550:54153854","001RB00001VTCYFYA5","a04RB00000kUAO2YAO","a0BRB00000ynb5x2AA",
"a0FRB00000Wj5UC2AZ","MFIW-000315","56527557","反映済み","a00RB00002Am2AZYAZ","56527557","freee_invoice:3687550:56527557","001RB00001VTqlOYAT","a04RB00000kUANmYAO","a0BRB00000ynb5h2AA",
"a0FRB00000Wj5UD2AZ","MFIW-000316","56527558","反映済み","a00RB00002Am2AaYAJ","56527558","freee_invoice:3687550:56527558","001RB00001VTrs0YAD","a04RB00000kUANgYAO","a0BRB00000ynb5b2AA",
"a0FRB00000Wj5UE2AZ","MFIW-000317","56527559","反映済み","a00RB00002Am2AbYAJ","56527559","freee_invoice:3687550:56527559","001RB00001VTrmnYAD","a04RB00000kUAO0YAO","a0BRB00000ynb5v2AA",
"a0FRB00000Wj5UJ2AZ","MFIW-000322","56527565","反映済み","a00RB00002Am2AcYAJ","56527565","freee_invoice:3687550:56527565","001RB00001VTqmBYAT","a04RB00000kUAORYA4","a0BRB00000ynb6M2AQ",
"a0FRB00000Wj5UL2AZ","MFIW-000324","56527568","反映済み","a00RB00002Am2AdYAJ","56527568","freee_invoice:3687550:56527568","001RB00001VTqbqYAD","a04RB00000kUAQ6YAO","a0BRB00000ynn5y2AA",
"a0FRB00000Wj5UN2AZ","MFIW-000326","56675516","反映済み","a00RB00002Am2AeYAJ","56675516","freee_invoice:3687550:56675516","001RB00001VTqlYYAT","a04RB00000kUANdYAO","a0BRB00000ynb5Y2AQ",
"a0FRB00000Wj5UP2AZ","MFIW-000328","56677820","反映済み","a00RB00002Am2AfYAJ","56677820","freee_invoice:3687550:56677820","001RB00001VTqlHYAT","a04RB00000kUANiYAO","a0BRB00000ynb5d2AA",
"a0FRB00000WjFOh2AN","MFIW-000333","56681225","反映済み","a00RB00002Am2AgYAJ","56681225","freee_invoice:3687550:56681225","001RB00001VTqf7YAD","a04RB00000kUAOjYAO","a0BRB00000ynb6e2AA",
"a0FRB00000WjFOk2AN","MFIW-000336","56683113","反映済み","a00RB00002Am2AhYAJ","56683113","freee_invoice:3687550:56683113","001RB00001VTrlBYAT","a04RB00000kUAOyYAO","a0BRB00000ynb6t2AA",
"a0FRB00000WjFOl2AN","MFIW-000337","56683462","反映済み","a00RB00002Am2AiYAJ","56683462","freee_invoice:3687550:56683462","001RB00001VTqgHYAT","a04RB00000kUAOzYAO","a0BRB00000ynb6u2AA",
"a0FRB00000WjFOm2AN","MFIW-000338","56683907","反映済み","a00RB00002Am2AjYAJ","56683907","freee_invoice:3687550:56683907","001RB00001VTqeXYAT","a04RB00000kUAP3YAO","a0BRB00000ynb6y2AA",
"a0FRB00000WjFOn2AN","MFIW-000339","56684523","反映済み","a00RB00002Am2AkYAJ","56684523","freee_invoice:3687550:56684523","001RB00001VTrkbYAD","a04RB00000kUAP5YAO","a0BRB00000ynb702AA",
"a0FRB00000WjFOo2AN","MFIW-000340","56684847","反映済み","a00RB00002Am2AlYAJ","56684847","freee_invoice:3687550:56684847","001RB00001VTrlqYAD","a04RB00000kUAP6YAO","a0BRB00000ynb712AA",
"a0FRB00000WjFOp2AN","MFIW-000341","56685055","反映済み","a00RB00002Am2AmYAJ","56685055","freee_invoice:3687550:56685055","001RB00001VTrqdYAD","a04RB00000kUAP7YAO","a0BRB00000ynb722AA",
"a0FRB00000WjFOr2AN","MFIW-000343","56692304","反映済み","a00RB00002Am2AnYAJ","56692304","freee_invoice:3687550:56692304","001RB00001VTqnvYAD","a04RB00000kUAP4YAO","a0BRB00000ynb6z2AA",
"a0FRB00000WjFOs2AN","MFIW-000344","56692529","反映済み","a00RB00002Am2AoYAJ","56692529","freee_invoice:3687550:56692529","001RB00001VTrqeYAD","a04RB00000kUAPAYA4","a0BRB00000ynb752AA",
"a0FRB00000WjFOv2AN","MFIW-000347","56695322","反映済み","a00RB00002Am2ApYAJ","56695322","freee_invoice:3687550:56695322","001RB00001VTrUSYA1","a04RB00000kUAP1YAO","a0BRB00000ynb6w2AA",
"a0FRB00000WjFOw2AN","MFIW-000348","56695878","反映済み","a00RB00002Am2AqYAJ","56695878","freee_invoice:3687550:56695878","001RB00001VTrYEYA1","a04RB00000kUAPBYA4","a0BRB00000ynb762AA",
"a0FRB00000WjFP02AN","MFIW-000352","57147191","反映済み","a00RB00002Am2ArYAJ","57147191","freee_invoice:3687550:57147191","001RB00001VTqeXYAT","a04RB00000kUAP3YAO","a0BRB00000ynb6y2AA",
"a0FRB00000WjSKH2A3","MFIW-000217","58549482","反映済み","a00RB00002Am2AsYAJ","58549482","freee_invoice:3687550:58549482","001RB00001VTrUSYA1","a04RB00000kUAP1YAO","a0BRB00000ynb6w2AA",
"a0FRB00000WjSKI2A3","MFIW-000218","58549485","反映済み","a00RB00002Am2AtYAJ","58549485","freee_invoice:3687550:58549485","001RB00001VTqU8YAL","a04RB00000kUAPEYA4","a0BRB00000ynn552AA",
"a0FRB00000WjSKJ2A3","MFIW-000219","58549487","反映済み","a00RB00002Am2AuYAJ","58549487","freee_invoice:3687550:58549487","001RB00001VTrYEYA1","a04RB00000kUAPBYA4","a0BRB00000ynb762AA",
"a0FRB00000WjSKL2A3","MFIW-000221","58573600","反映済み","a00RB00002Am2AvYAJ","58573600","freee_invoice:3687550:58573600","001RB00001VTqfsYAD","a04RB00000kUAPzYAO","a0BRB0000124lpt2AA",
"a0FRB00000WjSKS2A3","MFIW-000228","58573613","反映済み","a00RB00002Am2AwYAJ","58573613","freee_invoice:3687550:58573613","001RB00001VTtIWYA1","a04RB00000kUAPiYAO","a0BRB0000124juZ2AQ",
"a0FRB00000WjTBY2A3","MFIW-000240","58573634","反映済み","a00RB00002Am2AxYAJ","58573634","freee_invoice:3687550:58573634","001RB00001VTqbbYAD","a04RB00000kUAOFYA4","a0BRB00000ynb6A2AQ",
"a0FRB00000WjTBa2AN","MFIW-000242","58573637","反映済み","a00RB00002Am2AyYAJ","58573637","freee_invoice:3687550:58573637","001RB00001VTqU3YAL","a04RB00000kUAO7YAO","a0BRB00000ynb622AA",
"a0FRB00000WjTBb2AN","MFIW-000243","58573639","反映済み","a00RB00002Am2AzYAJ","58573639","freee_invoice:3687550:58573639","001RB00001VTCYFYA5","a04RB00000kUAO2YAO","a0BRB00000ynb5x2AA",
"a0FRB00000WjTBc2AN","MFIW-000244","58573640","反映済み","a00RB00002Am2B0YAJ","58573640","freee_invoice:3687550:58573640","001RB00001VTCYGYA5","a04RB00000kUAO1YAO","a0BRB00000ynb5w2AA",
"a0FRB00000WjTBe2AN","MFIW-000246","58573644","反映済み","a00RB00002Am2B1YAJ","58573644","freee_invoice:3687550:58573644","001RB00001VTqUoYAL","a04RB00000kUANwYAO","a0BRB00000ynb5r2AA",
"a0FRB00000WjTBh2AN","MFIW-000249","58573650","反映済み","a00RB00002Am2B2YAJ","58573650","freee_invoice:3687550:58573650","001RB00001VTqlOYAT","a04RB00000kUANmYAO","a0BRB00000ynb5h2AA",
